norad_id	bol	mission_start_date	stop_ops_date	demise_date
1	10/4/1957	10/4/1957	12/1/1957	12/1/1957
4	2/1/1958	2/1/1958	3/31/1970	3/31/1970
7	5/15/1958	5/15/1958	12/3/1958	12/3/1958
8	5/15/1958	5/15/1958	4/6/1960	4/6/1960
9	7/26/1958	7/26/1958	10/23/1959	10/23/1959
10	12/18/1958	12/18/1958	1/21/1959	1/21/1959
13	2/28/1959	2/28/1959	3/3/1959	3/3/1959
14	4/13/1959	4/13/1959	4/26/1959	4/26/1959
15	8/7/1959	8/7/1959	6/30/1961	6/30/1961
17	8/7/1959	8/7/1959	6/30/1961	6/30/1961
18	8/13/1959	8/13/1959	9/28/1959	9/28/1959
19	8/19/1959	8/19/1959	10/20/1959	10/20/1959
21	10/4/1959	10/4/1959	4/20/1960	4/20/1960
24	11/7/1959	11/7/1959	11/26/1959	11/26/1959
25	11/20/1959	11/20/1959	3/8/1960	3/8/1960
26	8/13/1959	8/13/1959	2/11/1961	2/11/1961
30	4/13/1960	4/13/1960	8/18/1961	8/18/1961
31	4/13/1960	4/13/1960	10/5/1967	10/5/1967
32	4/15/1960	4/15/1960	4/26/1960	4/26/1960
33	4/13/1960	4/13/1960	7/17/1960	7/17/1960
34	5/15/1960	5/15/1960	9/5/1962	9/5/1962
35	5/15/1960	5/15/1960	7/17/1960	7/17/1960
36	5/15/1960	5/15/1960	10/15/1965	10/15/1965
37	5/15/1960	5/15/1960	6/30/1961	6/30/1961
38	5/15/1960	5/15/1960	8/20/1960	8/20/1960
39	5/15/1960	5/15/1960	9/24/1960	9/24/1960
40	5/15/1960	5/15/1960	9/24/1960	9/24/1960
41	5/15/1960	5/15/1960	9/30/1960	9/30/1960
42	5/15/1960	5/15/1960	10/1/1960	10/1/1960
43	5/24/1960	5/24/1960	2/7/1974	2/7/1974
44	5/24/1960	5/24/1960	12/5/1960	12/5/1960
48	8/10/1960	8/10/1960	11/14/1960	11/14/1960
49	8/12/1960	8/12/1960	5/24/1968	5/24/1968
54	8/18/1960	8/18/1960	9/16/1960	9/16/1960
55	8/19/1960	8/19/1960	8/20/1960	8/20/1960
56	8/19/1960	8/19/1960	9/23/1960	9/23/1960
57	9/13/1960	9/13/1960	10/18/1960	10/18/1960
61	11/12/1960	11/12/1960	12/29/1960	12/29/1960
65	12/1/1960	12/1/1960	12/2/1960	12/2/1960
66	12/1/1960	12/1/1960	12/2/1960	12/2/1960
67	12/7/1960	12/7/1960	4/2/1961	4/2/1961
68	12/20/1960	12/20/1960	1/23/1961	1/23/1961
69	11/3/1960	11/3/1960	2/16/1970	2/16/1970
70	1/31/1961	1/31/1961	10/21/1973	10/21/1973
71	2/4/1961	2/4/1961	2/26/1961	2/26/1961
72	2/4/1961	2/4/1961	2/13/1961	2/13/1961
73	2/4/1961	2/4/1961	3/17/1961	3/17/1961
76	2/12/1961	2/12/1961	2/18/1961	2/18/1961
77	2/12/1961	2/12/1961	2/25/1961	2/25/1961
78	2/12/1961	2/12/1961	2/18/1961	2/18/1961
79	1/31/1961	1/31/1961	10/9/1970	10/9/1970
81	2/16/1961	2/16/1961	4/9/1964	4/9/1964
83	2/17/1961	2/17/1961	7/28/1962	7/28/1962
84	2/18/1961	2/18/1961	4/20/1962	4/20/1962
87	2/22/1961	2/22/1961	3/30/1961	3/30/1961
88	2/17/1961	2/17/1961	4/2/1961	4/2/1961
89	2/17/1961	2/17/1961	4/20/1961	4/20/1961
90	2/17/1961	2/17/1961	10/31/1961	10/31/1961
91	3/9/1961	3/9/1961	3/9/1961	3/9/1961
92	3/9/1961	3/9/1961	3/10/1961	3/10/1961
93	3/9/1961	3/9/1961	3/10/1961	3/10/1961
95	3/25/1961	3/25/1961	3/25/1961	3/25/1961
96	3/25/1961	3/25/1961	3/26/1961	3/26/1961
97	3/25/1961	3/25/1961	3/26/1961	3/26/1961
100	4/8/1961	4/8/1961	4/16/1962	4/16/1962
102	4/8/1961	4/8/1961	5/23/1962	5/23/1962
103	4/12/1961	4/12/1961	4/12/1961	4/12/1961
104	4/12/1961	4/12/1961	4/16/1961	4/16/1961
105	11/3/1960	11/3/1960	3/3/1972	3/3/1972
106	4/8/1961	4/8/1961	9/10/1961	9/10/1961
108	6/16/1961	6/16/1961	7/12/1961	7/12/1961
109	6/16/1961	6/16/1961	6/19/1961	6/19/1961
140	6/29/1961	6/29/1961	9/30/1962	9/30/1962
142	6/29/1961	6/29/1961	12/25/1967	12/25/1967
143	6/29/1961	6/29/1961	6/16/1962	6/16/1962
146	6/29/1961	6/29/1961	7/7/1969	7/7/1969
151	6/29/1961	6/29/1961	12/2/1967	12/2/1967
157	6/29/1961	6/29/1961	1/8/1981	1/8/1981
160	7/7/1961	7/7/1961	12/5/1961	12/5/1961
164	7/12/1961	7/12/1961	7/24/1961	7/24/1961
168	8/6/1961	8/6/1961	8/7/1961	8/7/1961
169	8/6/1961	8/6/1961	8/9/1961	8/9/1961
170	8/15/1961	8/15/1961	9/30/1963	9/30/1963
171	6/29/1961	6/29/1961	1/29/1962	1/29/1962
173	8/23/1961	8/23/1961	8/30/1961	8/30/1961
174	8/23/1961	8/23/1961	9/3/1961	9/3/1961
180	8/25/1961	8/25/1961	8/28/1961	8/28/1961
