# SPACE DATA - CATALOG TLEs (nice format)
# Generated : 2026/03/21-13:43:36
#
#                  LINE 1                                             |                 LINE 2                                                |      DERIVED PARAMETERS
# --------------------------------------------------------------------+-----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------
# NORAD  COSPAR     TLE_EPOCH      MEANMOT1 MEANMOT2   BSTAR  #  REV  |   NORAD    INC     RAAN     ECC    ARGPER  MEANANOM   MEANMOT     REV |  CAL_DATE              LONG      ARG_LAT     TANOM    PERIOD        SMA         PERIGEE        APOGEE      INC_X      INC_Y      ECC_X      ECC_Y
# ------ ------   -------------- ----------  -------  ------- -- ----     -----  ------- -------- ------- -------- -------- -----------  ----   ------------------- ---------  --------- ---------  --------  ------------  ------------   ----------- ---------- ----------  ---------  ---------
1 00004U 58001  A 70090.03500497  .07718844 +00000-0 +00000-0 0  9991 | 2 00004 033.1468 334.6171 0024739 311.5310 048.3249 16.27546304584022 | 1970/03/31-00:50:24   46.6411    0.0681   48.5371   88.4767     6577.2791     6561.0076     6593.5507  29.946916 -14.208890   0.000688  -0.002376
1 00005U 58002B   26079.71544731  .00000108  00000-0  16071-3 0  9993 | 2 00005  34.2414 227.3506 1836943  99.5572 281.6270 10.85959671433660 | 2026/03/20-17:10:14    7.4824    0.0594  260.5022  132.6016     8613.7589     7031.4605    10196.0573 -23.198904 -25.185002   0.153898  -0.100295
1 00008U 58004  B 60095.16166626  .02607090 +00000-0 +00000-0 0  9993 | 2 00008 065.0599 163.5585 0088318 135.6760 224.6847 16.28328133100004 | 1960/04/04-03:52:47  267.3988  359.6546  223.9786   88.4343     6575.1736     6517.1030     6633.2442 -62.399550  18.414308   0.004313  -0.007707
1 00009U 58005  A 59275.28696823  .00892850 +00000-0 +00000-0 0  9991 | 2 00009 050.2549 082.4216 0254534 057.7226 303.5234 15.51612549060703 | 1959/10/02-06:53:14  210.6652  358.7717  301.0491   92.8067     6790.1544     6617.3219     6962.9870   6.627752  49.815940  -0.019540   0.016312
1 00011U 59001A   26080.38145253  .00000908  00000-0  46156-3 0  9996 | 2 00011  32.8774  57.4304 1445707 277.1980  66.6982 11.90288286525004 | 2026/03/21-09:09:17   95.7660    0.0601   82.8621  120.9791     8102.7742     6931.3504     9274.1979  17.698684  27.707039   0.130627  -0.061947
1 00012U 59001B   26080.42463896  .00000465  00000-0  27024-3 0  9999 | 2 00012  32.8980 174.5409 1646212   0.3654 359.7834 11.48573854521233 | 2026/03/21-10:11:28  338.0339    0.0593  359.6939  125.3729     8297.7923     6931.7997     9663.7848 -32.748787   3.129757  -0.163971   0.014616
1 00015U 59004  A 59272.62543869  .00008106 +00000-0 +00000-0 0  9997 | 2 00015 046.9509 049.6823 7601812 047.2577 341.8928 01.88913924001001 | 1959/09/29-15:00:37  334.0704  300.5247  253.2670  762.2519    27641.3465     6628.9146    48653.7785  30.378423  35.798582  -0.091853   0.754612
1 00016U 58002A   26080.61892694 -.00000001  00000-0  19274-4 0  9992 | 2 00016  34.2588 198.2539 2019906 110.7408 272.0482 10.49580525679718 | 2026/03/21-14:51:15    1.0239    0.0580  249.3172  137.1977     8811.6654     7031.7918    10591.5390 -32.534822 -10.730831   0.127102  -0.156988
1 00017U 59004  B 61008.85131000  .00070225 +00000-0 +00000-0 0  9995 | 2 00017 047.1000 284.3200 7526400 171.0000 203.9657 02.00290678010078 | 1961/01/08-20:25:53  295.6768  356.1795  185.1795  718.9551    26584.4706     6575.9347    46593.0066  11.649584 -45.636577  -0.069783   0.749398
1 00018U 59005  A 59269.32477950  .04655228 +00000-0 +00000-0 0  9998 | 2 00018 079.9899 251.4819 0140209 012.7649 347.4143 16.16111033006800 | 1959/09/26-07:47:40   50.4406  359.8230  347.0581   89.1028     6608.2690     6515.6151     6700.9228 -25.405130 -75.848293  -0.001406  -0.013950
1 00019U 59006  A 59278.50940704  .01114833 +00000-0 +00000-0 0  9991 | 2 00019 083.9999 286.5094 0222212 326.3932 034.3056 15.83731828007208 | 1959/10/05-12:13:32   89.6094    2.1675   35.7743   90.9245     6698.0350     6549.1966     6846.8734  23.870474 -80.536847  -0.006533  -0.021239
