# SAT_NAME
#
#                  LINE 1                                             |                 LINE 2                                                |      DERIVED PARAMETERS
# --------------------------------------------------------------------+-----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------
# NORAD  COSPAR     TLE_EPOCH      MEANMOT1 MEANMOT2   BSTAR  #  REV  |   NORAD    INC     RAAN     ECC    ARGPER  MEANANOM   MEANMOT     REV |  CAL_DATE              LONG     PERIOD        SMA         PERIGEE        APOGEE      INC_X      INC_Y      ECC_X      ECC_Y
# ------ ------   -------------- ----------  -------  ------- -- ----     -----  ------- -------- ------- -------- -------- -----------  ----   ------------------- ---------  --------  ------------  ------------   ----------- ---------- ----------  ---------  ---------   
1 00004U 58001  A 70090.03500497  .07718844 +00000-0 +00000-0 0  9991 | 2 00004 033.1468 334.6171 0024739 311.5310 048.3249 16.27546304584022 | 1970/03/31-00:50:24  226.1152   88.4767     6577.2791     6414.5638     6739.9944  29.946916 -14.208890   0.006880  -0.023763
1 00005U 58002B   25292.21158575  .00000032  00000-0  51478-4 0  9998 | 2 00005  34.2486 338.0489 1841615 131.9951 245.2847 10.85924954417083 | 2025/10/19-05:04:41  108.7740  132.6058     8613.9425    -7249.6232    24477.5081  31.765687 -12.802645  -0.631198   1.730068
1 00008U 58004  B 60095.16166626  .02607090 +00000-0 +00000-0 0  9993 | 2 00008 065.0599 163.5585 0088318 135.6760 224.6847 16.28328133100004 | 1960/04/04-03:52:47   86.7501   88.4343     6575.1736     5994.4674     7155.8798 -62.399550  18.414308   0.043133  -0.077069
1 00009U 58005  A 59275.28696823  .00892850 +00000-0 +00000-0 0  9991 | 2 00009 050.2549 082.4216 0254534 057.7226 303.5234 15.51612549060703 | 1959/10/02-06:53:14   29.8892   92.8067     6790.1544     5061.8293     8518.4796   6.627752  49.815940  -0.195396   0.163120
1 00011U 59001A   25292.25332563  .00000799  00000-0  41898-3 0  9994 | 2 00011  32.8660 276.7393 1447603 126.1635 248.1729 11.90080631506750 | 2025/10/19-06:04:47  188.0945  121.0002     8103.7167    -3627.2479    19834.6813   3.856889 -32.638909   1.060383   0.985465
1 00012U 59001B   25291.49326632  .00002837  00000-0  16406-2 0  9991 | 2 00012  32.9138 356.9398 1647951 265.3747  75.7579 11.48162951503535 | 2025/10/18-11:50:18  226.7273  125.4177     8299.7719    -5377.8455    21977.3892  32.866865  -1.757109  -0.220389  -1.633148
1 00015U 59004  A 59272.62543869  .00008106 +00000-0 +00000-0 0  9997 | 2 00015 046.9509 049.6823 7601812 047.2577 341.8928 01.88913924001001 | 1959/09/29-15:00:37  153.9500  762.2519    27641.3465  -182482.9731   237765.6661  30.378423  35.798582  -0.918526   7.546115
1 00016U 58002A   25292.19811628 -.00000005  00000-0 -18899-4 0  9994 | 2 00016  34.2661 281.9542 2024130 182.9190 175.7699 10.49569899663597 | 2025/10/19-04:45:17  178.5973  137.1991     8811.7249    -9024.3518    26647.8016   7.097528 -33.522988  -0.519555   1.956314
1 00017U 59004  B 61008.85131000  .00070225 +00000-0 +00000-0 0  9995 | 2 00017 047.1000 284.3200 7526400 171.0000 203.9657 02.00290678010078 | 1961/01/08-20:25:53  115.3308  718.9551    26584.4706  -173500.8892   226669.8305  11.649584 -45.636577  -0.697834   7.493979
1 00018U 59005  A 59269.32477950  .04655228 +00000-0 +00000-0 0  9998 | 2 00018 079.9899 251.4819 0140209 012.7649 347.4143 16.16111033006800 | 1959/09/26-07:47:40  229.6311   89.1028     6608.2690     5681.7302     7534.8078 -25.405130 -75.848293  -0.014055  -0.139503
1 00019U 59006  A 59278.50940704  .01114833 +00000-0 +00000-0 0  9991 | 2 00019 083.9999 286.5094 0222212 326.3932 034.3056 15.83731828007208 | 1959/10/05-12:13:32  269.6028   90.9245     6698.0350     5209.6512     8186.4187  23.870474 -80.536847  -0.065330  -0.212392
1 00020U 59007A   25291.69583796  .00004584  00000-0  18390-2 0  9999 | 2 00020  33.3474  56.1474 1639770 199.3378 153.7107 11.61266458456524 | 2025/10/18-16:42:00  228.7292  124.0025     8237.2185    -5269.9253    21744.3623  18.576445  27.694129  -0.410976  -1.587433
1 00022U 59009A   25292.25496774  .00021071  00000-0  82580-3 0  9998 | 2 00022  50.2794 205.7811 0086872 236.0920 123.1755 15.22215911763560 | 2025/10/19-06:07:09  274.7144   94.5989     6877.2953     6279.8509     7474.7397 -45.274704 -21.868225   0.012281   0.086000
1 00023U 59009  B 89195.78596028  .02731772 +19637-1 +30065-2 0  9997 | 2 00023 050.2674 226.9734 0018343 032.5712 327.5638 16.13561323580506 | 1989/07/14-18:51:46  348.4498   89.2436     6615.2286     6493.8855     6736.5718 -34.299348 -36.747329  -0.003329  -0.018038
1 00024U 59010  A 59324.76896999  .03159051 +00000-0 +00000-0 0  9991 | 2 00024 081.6399 044.7879 0281000 119.5599 241.8752 15.73099002002000 | 1959/11/20-18:27:19  289.6262   91.5391     6728.1831     4837.5637     8618.8026  57.941431  57.514031  -0.270580   0.075813
1 00025U 59011  A 60067.96672797  .09310919 +00000-0 +00000-0 0  9997 | 2 00025 080.6499 290.2565 0094843 170.3363 189.7568 16.35855842015945 | 1960/03/07-23:12:05  223.3373   88.0273     6554.9868     5933.2922     7176.6814  27.922890 -75.661870  -0.017435   0.093227
